Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Amazon Route 53,0,958,11496,USD,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,23,276,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,Amazon EC2,0,387.23,4646.76,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.xlarge)"
My Estimate,US East (N. Virginia),RDS,Amazon RDS for MySQL,1828,198.278,4207.34,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (2), Instance type (db.m5.large), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr Partial Upfront)"
My Estimate,US East (N. Virginia),VPC,Amazon Virtual Private Cloud (VPC),0,573.05,6876.6,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (100 GB per hour)"
My Estimate,US East (N. Virginia),elastic ip,Amazon Elastic IP,0,1073.1,12877.2,USD,"Number of EC2 instances (6), Number of EIPs per instance (50)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,193.04,2316.48,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m4.large)"
My Estimate,US East (N. Virginia),Application load balancer,Application Load Balancer,0,2952.85,35434.2,USD,Number of Application Load Balancers (2)
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
EC2 pricing strategy changed from on-demand to 1-year prepaid reserved instances for both web and application servers.,,,,,,,,
RDS pricing changed to reserved with partial payment,,,,,,,,
